Datum	Customer	Country	Catalog Number	Catalog Name	Quantity	Price	Total	Currency_ID	Subsidiary
01.12.14	Dis Switzerland	SWITZERLAND	R0539S	BbsI	4	38,4	153,6	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0540S	BspEI, recombinant	1	38,4	38,4	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0547L	PacI, recombinant	1	153,6	153,6	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0547S	PacI, recombinant	2	38,4	76,8	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0552S	AgeI, recombinant	3	39,6	118,8	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0553S	BsiWI, recombinant	1	39,6	39,6	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0560S	PmeI, recombinant	1	43,2	43,2	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0569S	SapI, recombinant	3	38,4	115,2	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0575S	BsrGI, recombinant	1	38,4	38,4	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0588S	FseI, recombinant	1	42	42	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0593L	PshAI, recombinant	1	158,4	158,4	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0614S	BtsI, recombinant	1	38,4	38,4	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0630S	AsiSI, recombinant	2	38,4	76,8	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0642S	SbfI, recombinant	1	40,8	40,8	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0648S	Nb.BsrDI, recombinant	1	39	39	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0652S	AfeI, recombinant	1	40,8	40,8	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0655S	PciI, recombinant	2	40,8	81,6	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R3101L	EcoRI-HF®	1	107,8	107,8	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R3101S	EcoRI-HF®	3	26,95	80,85	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R3104L	HindIII-HF®	2	107,8	215,6	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R3104S	HindIII-HF®	1	26,95	26,95	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R3131L	NheI-HF®	2	140,8	281,6	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R3131S	NheI-HF®	3	35,2	105,6	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R3133S	SpeI-HF®	1	34,1	34,1	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R3136S	BamHI-HF®	1	26,95	26,95	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R3138S	SalI-HF®	3	30,8	92,4	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R3142S	KpnI-HF®	1	31,9	31,9	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R3156S	SacI-HF®	1	31,9	31,9	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R3162S	BstEII-HF®	1	30,8	30,8	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R3182S	SphI-HF®	1	34,1	34,1	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R3189L	NotI-HF®	6	154	924	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R3189S	NotI-HF®	6	38,5	231	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R3193S	NcoI-HF®	2	34,1	68,2	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R3195S	EcoRV-HF®	2	31,9	63,8	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R3505S	EagI-HF®	1	34,1	34,1	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R3535S	BsaI-HF®	1	36,3	36,3	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R3552S	AgeI-HF®	3	36,3	108,9	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R3589L	MfeI-HF®	1	154	154	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R3589S	MfeI-HF®	1	38,5	38,5	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R3642L	SbfI-HF®	1	149,6	149,6	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	B0202S	NEBuffer Pack for T4 DNA Ligase (#M0202)	1	10,8	10,8	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	B0518S	Phusion® HF Buffer Pack	1	10,8	10,8	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	B7002S	NEBuffer Pack #2 (blue)	1	10,8	10,8	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	B7200S	NEBuffer Set 1.1, 2.1, 3.1 and CutSmart	6	10,8	64,8	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	B7201S	NEBuffer 1.1	1	10,8	10,8	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	B7202S	NEBuffer 2.1	1	10,8	10,8	20	New England Biolabs Germany
